AdID,CampaignName,Platform,Date,Impressions,Clicks,Cost,Conversions,CTR
AD1001,SpringPromo,Google,2024-01-07,1080,89,423.93362415817796,9,0.0824074074074074
AD1002,WinterSale,Meta,2024-01-29,537,7,138.67526061603127,18,0.01303538175046555
AD1003,SpringPromo,LinkedIn,2024-01-06,3770,361,312.8919101294995,13,0.09575596816976127
AD1004,WinterSale,LinkedIn,2024-01-02,2917,86,93.06949261788891,15,0.029482344874871443
AD1005,ProductLaunch,Google,2024-01-09,2205,157,326.49144203968063,1,0.07120181405895691
AD1006,WinterSale,Google,2024-01-19,743,1,54.268947833194616,20,0.0013458950201884253
AD1007,WinterSale,Meta,2024-01-31,2240,212,260.2366818284637,6,
AD1008,SpringPromo,LinkedIn,01/19/2024,3794,309,95.6053562143911,7,
AD1009,WinterSale,Meta,2024-01-03,0,9,228.23866426452304,2,
AD1010,SpringPromo,Google,01/13/2024,2684,29,380.14197548161104,18,0.010804769001490314
AD1011,SpringPromo,Meta,2024-01-26,1320,68,150.60912686436384,6,0.051515151515151514
AD1012,ProductLaunch,Google,2024-01-01,4889,392,209.11607603139072,11,0.08017999590918388
AD1013,ProductLaunch,Meta,2024-01-12,2200,181,434.09329532879195,10,
AD1014,ProductLaunch,LinkedIn,2024-01-13,2638,243,210.03992679717084,3,0.09211523881728582
AD1015,ProductLaunch,Google,2024-01-21,1599,17,373.36794474755976,6,0.010631644777986242
AD1016,WinterSale,Meta,2024-13-01,2787,214,60.065923487973436,1,0.07678507355579477
AD1017,WinterSale,Meta,2024-01-25,3980,204,318.32865297178176,5,0.05125628140703518
AD1018,WinterSale,Google,2024-01-04,3137,193,404.75666110656266,0,0.06152374880459037
AD1019,WinterSale,LinkedIn,2024-01-09,2703,149,406.03331996972315,10,0.05512393636699963
AD1020,WinterSale,Meta,2024-01-04,1852,33,USD111.99,12,0.017818574514038878
AD1021,SpringPromo,Meta,2024-01-10,1773,153,96.55706120013042,6,0.08629441624365482
AD1022,SpringPromo,Google,2024-01-04,954,80,83.16423447329527,6,0.08385744234800839
AD1023,ProductLaunch,Facebook,01/23/2024,2048,198,122.50172857080999,20,0.0966796875
AD1024,SpringPromo,Meta,2024-13-01,4084,378,469.97388598101435,14,0.09255631733594515
AD1025,SpringPromo,Google,2024-01-05,3592,125,192.98181231774927,12,0.03479955456570156
AD1026,SpringPromo,Meta,2024-01-04,2407,167,153.02933779672685,4,0.06938097216452015
AD1027,ProductLaunch,Meta,01/16/2024,2776,16,174.51907492648473,9,0.005763688760806916
AD1028,SpringPromo,Meta,01/25/2024,3552,301,316.85564101941804,8,0.08474099099099099
AD1029,SpringPromo,Meta,01/19/2024,2255,224,390.0467805391171,17,0.09933481152993348
AD1030,WinterSale,Google,01/03/2024,1413,118,73.16886281505026,18,0.0835102618542109
AD1031,WinterSale,LinkedIn,2024-01-13,2372,231,105.28453430720279,5,0.09738617200674536
AD1032,WinterSale,Meta,01/10/2024,2229,103,410.00809961960005,15,0.0462090623598026
AD1033,WinterSale,LinkedIn,01/23/2024,4973,149,78.00793320980635,9,0.02996179368590388
AD1034,SpringPromo,LinkedIn,2024-01-31,1630,140,177.62874932072384,19,0.08588957055214724
AD1035,WinterSale,Meta,01/08/2024,2893,209,221.48261305585845,0,0.07224334600760456
AD1036,ProductLaunch,Meta,2024-01-11,3375,145,50.894705048545205,10,0.04296296296296296
AD1037,SpringPromo,Meta,01/16/2024,4514,402,122.2516248139954,16,0.08905626938413824
AD1038,WinterSale,Google,2024-01-05,1940,90,125.44596959013913,15,0.04639175257731959
AD1039,WinterSale,Meta,2024-01-22,1974,119,306.07307286207435,8,0.06028368794326241
AD1040,SpringPromo,Meta,2024-01-01,0,7,112.30214481175747,19,
AD1041,WinterSale,Google,01/02/2024,2979,25,444.9592297859093,20,
AD1042,ProductLaunch,LinkedIn,01/04/2024,4490,223,352.5436779631557,3,0.04966592427616927
AD1043,ProductLaunch,LinkedIn,01/17/2024,4409,33,433.01686387110675,19,0.0074846904059877525
AD1044,WinterSale,Google,2024-01-19,850,49,163.9622526963734,1,0.05764705882352941
AD1045,WinterSale,Google,2024-01-20,3347,203,411.519668237865,4,0.06065132954884972
AD1046,SpringPromo,Meta,2024-13-01,2587,18,332.59131815421983,18,0.006957866254348666
AD1047,SpringPromo,Google,2024-01-27,816,79,128.66085559743098,9,0.09681372549019608
AD1048,SpringPromo,google,2024-01-24,1503,23,78.36830373217401,7,0.015302727877578177
AD1049,WinterSale,FB,2024-01-15,1967,135,198.48295319165896,18,0.06863243518047789
AD1050,ProductLaunch,Google,2024-01-30,2644,231,221.9889220798555,7,
AD1051,SpringPromo,Meta,01/25/2024,2834,170,139.7282045780389,14,0.05998588567395907
AD1052,ProductLaunch,Google,2024-01-25,1050,95,USD123.20,3,0.09047619047619047
AD1053,ProductLaunch,Google,2024-01-11,3694,47,213.57339034194183,9,0.012723335138061722
AD1054,ProductLaunch,LinkedIn,2024-01-10,1143,46,-83.1058296600713,13,0.04024496937882765
AD1055,SpringPromo,LinkedIn,01/31/2024,557,37,101.36424963543384,1,0.06642728904847396
AD1056,SpringPromo,Google,2024-01-07,2964,269,182.46702589999575,16,0.0907557354925776
AD1057,WinterSale,Meta,2024-01-05,4923,334,392.5370469732829,5,0.06784481007515743
AD1058,ProductLaunch,LinkedIn,01/16/2024,4172,385,492.2621373967869,0,0.09228187919463088
AD1059,SpringPromo,LinkedIn,2024-01-05,3769,184,248.3486934749834,13,
AD1060,WinterSale,Meta,2024-01-09,4766,123,307.382351171999,14,
AD1061,SpringPromo,Google,2024-01-01,3067,17,221.8207068263939,14,0.005542875774372351
AD1062,SpringPromo,Google,2024-01-24,4701,422,169.12630335628808,16,0.08976813443948096
