month,channel,spend,users_acquired,avg_mrr_per_user,total_mrr_contribution,cpa,retention_rate,lifetime_months,ltv,seasonality_factor,net_mrr_lift_per_1k
2025-01-01,social,20993.428306022466,419.8685661204493,49.0,20573.559739902015,50,0.8,8,313.6,1.0,-20.000000000000075
2025-01-01,search,14792.603548243223,369.8150887060806,52.0,19230.38461271619,40,0.85,10,442.0,1.0,299.9999999999999
2025-01-01,email,10647.688538100692,354.9229512700231,49.55,17586.432235429642,30,0.82,9,365.679,1.0,651.6666666666665
2025-01-01,paid_ad,17284.544784612037,172.84544784612038,49.16,8497.082216115277,100,0.78,7,268.41360000000003,1.0,-508.4
2025-02-01,social,19531.69325055333,390.6338650110666,49.0,19141.059385542263,50,0.8,8,313.6,1.0,-19.999999999999996
2025-02-01,search,14648.794564576228,366.2198641144057,52.0,19043.432933949098,40,0.85,10,442.0,1.0,300.00000000000006
2025-02-01,email,11579.212815507391,385.97376051691305,49.55,19124.99983361304,30,0.82,9,365.679,1.0,651.6666666666666
2025-02-01,paid_ad,16151.152093729363,161.51152093729362,49.16,7939.906369277354,100,0.78,7,268.41360000000003,1.0,-508.40000000000003
2025-03-01,social,19061.051228130094,381.2210245626019,49.0,18679.830203567493,50,0.8,8,313.6,1.0,-19.999999999999957
2025-03-01,search,15813.840065378947,395.3460016344737,52.0,20557.99208499263,40,0.85,10,442.0,1.0,300.0
2025-03-01,email,9536.582307187538,317.8860769062513,49.55,15751.25511070475,30,0.82,9,365.679,1.0,651.6666666666665
2025-03-01,paid_ad,14301.405369644615,143.01405369644615,49.16,7030.570879717293,100,0.78,7,268.41360000000003,1.0,-508.4
2025-04-01,social,20483.924543132067,409.67849086264135,49.0,20074.246052269427,50,0.8,8,313.6,1.0,-19.999999999999915
2025-04-01,search,12130.079633013303,303.2519908253326,52.0,15769.103522917296,40,0.85,10,442.0,1.0,300.00000000000006
2025-04-01,email,8275.082167486968,275.8360722495656,49.55,13667.677379965973,30,0.82,9,365.679,1.0,651.6666666666665
2025-04-01,paid_ad,14156.568706138542,141.5656870613854,49.16,6959.369175937706,100,0.78,7,268.41360000000003,1.0,-508.4000000000001
2025-05-01,social,17974.337759331152,359.48675518662304,49.0,17614.85100414453,50,0.8,8,313.6,1.0,-19.999999999999982
2025-05-01,search,15471.370998892911,386.7842749723228,52.0,20112.782298560785,40,0.85,10,442.0,1.0,300.00000000000006
2025-05-01,email,9091.97592447879,303.06586414929296,49.55,15016.913568597465,30,0.82,9,365.679,1.0,651.6666666666664
2025-05-01,paid_ad,12881.544447997063,128.81544447997064,49.16,6332.567250635356,100,0.78,7,268.41360000000003,1.0,-508.40000000000003
2025-06-01,social,22931.297537843107,458.62595075686215,49.0,22472.671587086246,50,0.8,8,313.6,1.0,-19.999999999999954
2025-06-01,search,14661.335549270196,366.5333887317549,52.0,19059.736214051252,40,0.85,10,442.0,1.0,299.9999999999999
2025-06-01,email,10067.528204687924,335.5842734895975,49.55,16628.200751409553,30,0.82,9,365.679,1.0,651.6666666666665
2025-06-01,paid_ad,12862.877720679815,128.62877720679816,49.16,6323.390687486197,100,0.78,7,268.41360000000003,1.0,-508.4
2025-07-01,social,18911.234550949634,378.22469101899264,49.0,18533.00985993064,50,0.8,8,313.6,1.0,-20.000000000000036
2025-07-01,search,15166.383884564799,379.15959711411995,52.0,19716.299049934238,40,0.85,10,442.0,1.0,299.99999999999994
2025-07-01,email,8849.006422577697,294.9668807525899,49.55,14615.608941290828,30,0.82,9,365.679,1.0,651.6666666666665
2025-07-01,paid_ad,15563.547027518507,155.63547027518507,49.16,7651.039718728098,100,0.78,7,268.41360000000003,1.0,-508.40000000000003
2025-08-01,social,18798.72262016239,375.97445240324777,49.0,18422.748167759142,50,0.8,8,313.6,1.0,-19.99999999999994
2025-08-01,search,14562.459375310085,364.06148438275216,52.0,18931.19718790311,40,0.85,10,442.0,1.0,300.00000000000006
2025-08-01,email,9398.293387770604,313.27644625902013,49.55,15522.847912134446,30,0.82,9,365.679,1.0,651.6666666666665
2025-08-01,paid_ad,17778.417276763408,177.7841727676341,49.16,8739.86993325689,100,0.78,7,268.41360000000003,1.0,-508.40000000000003
2025-09-01,social,19973.005550524133,399.46011101048265,49.0,19573.54543951365,50,0.8,8,313.6,1.0,-19.999999999999936
2025-09-01,search,13413.43360656615,335.33584016415375,52.0,17437.463688535994,40,0.85,10,442.0,1.0,299.99999999999994
2025-09-01,email,10822.544912103189,360.75149707010627,49.55,17875.236679823764,30,0.82,9,365.679,1.0,651.6666666666664
2025-09-01,paid_ad,13168.734525043466,131.68734525043467,49.16,6473.749892511368,100,0.78,7,268.41360000000003,1.0,-508.4
2025-10-01,social,20417.72719000951,490.02545256022825,49.0,24011.247175451183,50,0.8,8,313.6,1.2,175.9999999999999
2025-10-01,search,12060.494814180336,361.81484442541006,52.0,18814.371910121325,40,0.85,10,442.0,1.2,560.0
2025-10-01,email,8671.813951101569,346.8725580440627,49.55,17187.535251083307,30,0.82,9,365.679,1.2,981.9999999999997
2025-10-01,paid_ad,15295.291853803685,183.5435022456442,49.16,9022.998570395868,100,0.78,7,268.41360000000003,1.2,-410.0800000000001
2025-11-01,social,21476.933159990822,515.4463958397797,49.0,25256.873396149207,50,0.8,8,313.6,1.2,176.00000000000003
2025-11-01,search,15257.052421784956,457.71157265354867,52.0,23801.00177798453,40,0.85,10,442.0,1.2,559.9999999999999
2025-11-01,email,9884.35171761176,395.3740687044704,49.55,19590.785104306506,30,0.82,9,365.679,1.2,981.9999999999997
2025-11-01,paid_ad,14548.344456616067,174.5801334793928,49.16,8582.35936184695,100,0.78,7,268.41360000000003,1.2,-410.08000000000004
2025-12-01,social,17042.956019265144,409.0309444623635,49.0,20042.51627865581,50,0.8,8,313.6,1.2,176.00000000000003
2025-12-01,search,13920.233687407937,417.60701062223814,52.0,21715.564552356384,40,0.85,10,442.0,1.2,560.0
2025-12-01,email,9539.361229040212,381.57444916160847,49.55,18907.0139559577,30,0.82,9,365.679,1.2,981.9999999999999
2025-12-01,paid_ad,16585.683339328374,199.0282000719405,49.16,9784.226315536594,100,0.78,7,268.41360000000003,1.2,-410.08000000000004
