date_id,full_date,month,quarter
1,2025-01-01,1,1
2,2025-01-02,1,1
3,2025-01-03,1,1
4,2025-01-04,1,1
5,2025-01-05,1,1
6,2025-01-06,1,1
7,2025-01-07,1,1
8,2025-01-08,1,1
9,2025-01-09,1,1
10,2025-01-10,1,1
11,2025-01-11,1,1
12,2025-01-12,1,1
13,2025-01-13,1,1
14,2025-01-14,1,1
15,2025-01-15,1,1
16,2025-01-16,1,1
17,2025-01-17,1,1
18,2025-01-18,1,1
19,2025-01-19,1,1
20,2025-01-20,1,1
21,2025-01-21,1,1
22,2025-01-22,1,1
23,2025-01-23,1,1
24,2025-01-24,1,1
25,2025-01-25,1,1
26,2025-01-26,1,1
27,2025-01-27,1,1
28,2025-01-28,1,1
29,2025-01-29,1,1
30,2025-01-30,1,1
31,2025-01-31,1,1
32,2025-02-01,2,1
33,2025-02-02,2,1
34,2025-02-03,2,1
35,2025-02-04,2,1
36,2025-02-05,2,1
37,2025-02-06,2,1
38,2025-02-07,2,1
39,2025-02-08,2,1
40,2025-02-09,2,1
41,2025-02-10,2,1
42,2025-02-11,2,1
43,2025-02-12,2,1
44,2025-02-13,2,1
45,2025-02-14,2,1
46,2025-02-15,2,1
47,2025-02-16,2,1
48,2025-02-17,2,1
49,2025-02-18,2,1
50,2025-02-19,2,1
51,2025-02-20,2,1
52,2025-02-21,2,1
53,2025-02-22,2,1
54,2025-02-23,2,1
55,2025-02-24,2,1
56,2025-02-25,2,1
57,2025-02-26,2,1
58,2025-02-27,2,1
59,2025-02-28,2,1
60,2025-03-01,3,1
61,2025-03-02,3,1
62,2025-03-03,3,1
63,2025-03-04,3,1
64,2025-03-05,3,1
65,2025-03-06,3,1
66,2025-03-07,3,1
67,2025-03-08,3,1
68,2025-03-09,3,1
69,2025-03-10,3,1
70,2025-03-11,3,1
71,2025-03-12,3,1
72,2025-03-13,3,1
73,2025-03-14,3,1
74,2025-03-15,3,1
75,2025-03-16,3,1
76,2025-03-17,3,1
77,2025-03-18,3,1
78,2025-03-19,3,1
79,2025-03-20,3,1
80,2025-03-21,3,1
81,2025-03-22,3,1
82,2025-03-23,3,1
83,2025-03-24,3,1
84,2025-03-25,3,1
85,2025-03-26,3,1
86,2025-03-27,3,1
87,2025-03-28,3,1
88,2025-03-29,3,1
89,2025-03-30,3,1
90,2025-03-31,3,1
