AdID,CampaignName,Platform,Date,Impressions,Clicks,Cost,Conversions,CTR,OriginalDate,OriginalPlatform,OriginalCost,OriginalImpressions,OriginalClicks,OriginalIndex
AD1522,WinterSale,Meta,2024-01-24,3281,262,473.1126077384396,10.0,0.0798537031392868,01/24/2024,Meta,473.1126077384396,3281,262,970
AD1738,ProductLaunch,Google,2024-01-25,1344,81,111.66133455512139,20.0,0.0602678571428571,01/25/2024,Google,111.66133455512139,1344,81,971
AD1741,SpringPromo,Meta,2024-01-26,608,32,444.4867383743274,6.0,0.0526315789473684,01/26/2024,Meta,444.4867383743274,608,32,972
AD1661,SpringPromo,Meta,2024-01-23,4355,180,476.3659736302384,13.0,0.0413318025258323,2024-01-23,Meta,476.3659736302384,4355,180,973
AD1412,ProductLaunch,Google,2024-01-06,1123,83,481.59929480445953,18.0,0.0739091718610863,2024-01-06,Google,481.59929480445953,1123,83,974
AD1679,ProductLaunch,Google,2024-01-13,4493,381,177.54741800410838,19.0,0.0847985755619853,2024-13-01,Google,177.54741800410838,4493,381,975
AD1627,WinterSale,Google,2024-01-03,3256,243,469.2292929941582,13.0,0.0746314496314496,01/03/2024,Google,469.2292929941582,3256,243,976
AD1514,SpringPromo,Meta,2024-01-12,2826,50,90.64323838201985,3.0,0.0176928520877565,2024-01-12,Meta,90.64323838201985,2826,50,977
AD1860,SpringPromo,Google,2024-01-09,4845,156,220.78,0.0,0.0321981424148606,01/09/2024,Google,USD220.78,4845,156,978
AD1137,SpringPromo,Google,2024-01-05,912,32,220.09962753956097,19.0,0.0350877192982456,2024-01-05,Google,220.09962753956097,912,32,979
AD1812,ProductLaunch,LinkedIn,2024-01-03,3638,102,446.60452777705643,10.0,0.02803738317757,2024-01-03,LinkedIn,446.60452777705643,3638,102,980
AD1077,WinterSale,Meta,2024-01-16,1944,103,391.2297821925235,19.0,0.0529835390946502,2024-01-16,Meta,391.2297821925235,1944,103,981
AD1637,SpringPromo,LinkedIn,2024-01-25,4479,295,408.84431286828135,19.0,0.0658629158294262,2024-01-25,LinkedIn,408.84431286828135,4479,295,982
AD1974,SpringPromo,Google,2024-01-15,2261,97,161.8466266222576,4.0,0.0429013710747456,01/15/2024,Google,161.8466266222576,2261,97,983
AD1939,ProductLaunch,LinkedIn,2024-01-19,4242,410,52.00055640422791,19.0,,01/19/2024,LinkedIn,52.00055640422791,4242,410,984
AD1900,WinterSale,Meta,2024-01-16,3423,121,109.14485303694934,17.0,0.0353491089687408,2024-01-16,Meta,109.14485303694934,3423,121,985
AD1281,WinterSale,Google,2024-01-29,1184,24,239.96858870713527,10.0,0.0202702702702702,01/29/2024,Google,239.96858870713527,1184,24,986
AD1884,ProductLaunch,Meta,2024-01-02,2730,167,279.2293461833483,19.0,0.0611721611721611,2024-01-02,Meta,279.2293461833483,2730,167,987
AD1762,SpringPromo,Meta,2024-01-13,3180,53,176.45771035536603,,0.0166666666666666,2024-01-13,Meta,176.45771035536603,3180,53,988
AD1320,SpringPromo,LinkedIn,2024-01-13,3701,330,83.69065336213524,18.0,0.0891650905160767,2024-13-01,LinkedIn,83.69065336213524,3701,330,989
