TouchpointID,CustomerID,Channel,InteractionDate,CampaignName,Cost,Conversion
1001,CUST118,Email,01/01/2024,Product Launch,twenty,Yes
1002,CUST149,seo,2024/01/04,Product Launch,32.374178427563685,Yes
1003,CUST108,PPC,01/07/2024,Spring Sale,3.8450925265911007,No
1004,CUST145,SEO,2024/01/09,,47.322560350297046,No
1005,CUST128,Display,01/11/2024,Spring Sale,11.733046414156524,Yes
1006,,display,2024-01-13,Winter Promo,32.0330456108508,No
1007,CUST137,Social,01/09/2024,New Year Blast,20.131343273011254,Yes
1008,CUST141,Email,01/15/2024,Winter Promo,ten,Yes
1009,CUSY147,ppc,2024/01/19,New Year Blast,26.52326015274883,No
1010,CUST100,Display,01/16/2024,Spring Sale,39.582383883053254,No
1011,CUST111,PPC,01/26/2024,Winter Promo,39.14141941834041,
1012,CUST127,Email,2024-01-29,Spring Sale 2024,5.723305619515131,NOO
1013,CUST140,Email,2024-01-29,Product Launch,45.44291535371777,Yes
1014,CUST123,Display,2024/01/18,Winter Promo,29.96409925907707,No
1015,CUST138,Social,2024/02/03,Spring Sale,49.9051746807221,No
1016,CUST140,PPC,02/16/2024,New Year Blast,8.909215581800536,No
1017,CUST139,Display,2024/02/11,Winter Promo,9999,Yes
1018,CUSY130,Social,2024/01/25,Product Launch 2024,48.05944090358339,No
1019,CUST127,Display,2024/02/17,New Year Blast,43.47280945897364,Yes
1020,CUST124,PPC,02/14/2024,Spring Sale,44.389577799013615,No
1021,CUST143,Social,2024/02/03,New Year Blast 2024,36.72050656119563,Yes
1022,CUST150,Display,02/15/2024,,43.85257344557545,Yes
1023,CUSY134,PPC,2024-02-08,,26.348007930340692,No
1024,CUST127,SEO,2024-02-30,Spring Sale,34.631324680640724,Yes
1025,CUST112,PPC,2024/02/22,Product Launch,26.671666539642153,No
1026,CUST142,SEO,2024-02-22,Winter Promo 2024,21.69162882243545,No
1027,CUST105,Display,03/02/2024,Winter Promo,30.114140420325345,Yes
1028,CUST104,Email,02/23/2024,New Year Blast 2024,44.602112124121284,Yes
1029,CUST115,Email,2024-03-05,Spring Sale,34.08182811429149,Yes
1030,CUST107,PPC,2024/02/18,Spring Sale,3.7126087955236784,Yess
1031,CUST149,Social,2024-02-30,Spring Sale,12.83352185890526,No
1032,CUST129,Display,2024-03-04,Product Launch,five,No
1033,CUST131,Email,2024-03-04,New Year Blast,37.01919812308694,Yes
1034,CUST103,ppc,2024-02-29,New Year Blast,20.14848916954796,No
1035,CUST137,SEO,03/06/2024,Winter Promo 2024,38.51160838611138,Yes
1036,CUST107,PPC,03/25/2024,Spring Sale 2024,39.395858232239036,No
1037,CUST119,PPC,2024-03-12,New Year Blast,20.8411900242551,Yes
1038,CUST135,PPC,03/03/2024,Spring Sale,34.274739733794924,Yes
1039,CUST117,SEO,2024-03-19,Product Launch,23.002929571726558,Yes
1040,CUST113,Social,03/26/2024,Winter Promo,38.60998531279229,Yes
1041,CUST114,Email,2024/03/26,Winter Promo,five,Yes
1042,,Email,2024/03/27,Product Launch,38.11121467853012,Yes
1043,CUST148,PPC,2024-03-30,Product Launch,12.314402469889986,No
1044,CUST124,Display,2024/04/01,Product Launch,35.43307557439144,
1045,CUST138,Email,03/13/2024,Product Launch,39.393830999981695,Yes
1046,CUST114,SEO,2024/04/04,Product Launch,33.78421302990549,No
1047,CUST143,Display,2024/04/04,,23.720380037014852,No
1048,CUST111,Display,03/06/2024,New Year Blast,17.71046352492084,No
1049,CUST130,SEO,03/26/2024,Spring Sale,10.858501577555014,No
1050,CUSY127,SEO,03/25/2024,Spring Sale,31.869798724425277,Yes
1051,CUSY139,Social,04/18/2024,Spring Sale,1.1017456152535519,Yes
1052,CUST103,Email,2024-04-14,Product Launch,38.31780129817599,
1053,CUST130,seo,2024-04-14,Winter Promo,42.15433236797701,No
1054,CUSY103,Display,2024-04-18,,47.60859358639613,No
1055,CUSY116,Display,2024-02-30,,39.02091375004758,Yes
1056,CUST101,PayPerClick,05/02/2024,Winter Promo,36.14466851745021,No
1057,CUST103,SEO,2024-04-27,Product Launch,24.861849330179187,Yes
1058,CUST103,Email,05/06/2024,Product Launch,40.656843426114385,Yes
1059,CUST145,SEO,2024/04/26,Spring Sale,33.715339062948566,Yes
1060,CUST142,Social,2024-05-13,,twenty,No
1061,CUST145,SEO,04/12/2024,New Year Blast,ten,Yes
1062,CUST140,Email,2024-04-21,Winter Promo,1.1582468691289356,No
1063,CUST133,Social,2024/05/18,Winter Promo,38.08495136696325,Yes
1064,CUST119,Social,05/04/2024,Spring Sale,15.611709041773395,Yes
1065,CUST110,Display,2024/05/10,Product Launch,8.962122762888546,No
1066,CUST145,Email,2024-05-06,Spring Sale,25.672526095059293,Yes
1067,CUST109,SEO,2024/05/02,New Year Blast,18.30530481251537,No
1068,,ppc,05/19/2024,Winter Promo,8.163503227173464,Yess
1069,CUST130,SEO,2024/04/30,Product Launch,27.26467551695484,Yes
1070,CUST130,Social,2024-02-30,Product Launch,3.756563516592458,Yes
1071,CUST108,PayPerClick,2024-05-01,Winter Promo,33.05098432499422,
1072,CUST130,PPC,2024/04/29,Spring Sale 2024,1.9129489574811809,No
1073,,Social,2024/06/12,New Year Blast 2024,4.962878841511841,No
1074,CUST103,Display,05/09/2024,,3.5844867891773387,NOO
1075,CUST114,SEO,2024/06/22,Spring Sale,29.947587111363877,Yes
1076,CUST120,PPC,2024/06/15,Winter Promo,38.33261216311619,No
1077,CUST146,Email,2024/06/20,Winter Promo,21.36264464949442,No
1078,CUST116,PPC,2024-06-14,Winter Promo,47.14601498469529,Yes
1079,CUST111,Display,2024/06/06,New Year Blast,27.19701423054843,No
1080,CUST135,Social,2024-06-04,Spring Sale,5.0765157757040935,Yes
1081,CUST123,email,2024-02-30,Product Launch,19.43920292395634,Yes
