TouchpointID,CustomerID,Channel,InteractionDate,CampaignName,Cost,Conversion
1001,CUST110,Email,01/01/2024 15:29:28,New Year Blast,10.754662094395426,Yess
1002,CUST107,Social,2024-01-04 18:41:52,Winter Promo,32.47310946494285,NOO
1003,CUST103,email,01/07/2024 00:59:26,,26.76908792455819,No
1004,CUST112,Email,2024-01-03 03:09:31,Winter Promo,23.44159268438258,No
1005,CUSY101,PPC,2024-01-11 20:33:24,Winter Promo,13.35861054072456,No
1006,CUST117,Email,2024-01-08 12:58:55,Winter Promo,4.934953715351147,Yes
1007,CUST115,Social,01/12/2024 17:16:23,New Year Blast,38.091851535177895,Yes
1008,CUST102,Email,2024-01-15 18:59:48,Product Launch,41.13228818465635,Yes
1009,CUST110,PPC,2024/01/16 15:29:21,Product Launch,6.16138060807286,Yes
1010,,ppc,2024/01/17 06:06:46,New Year Blast,45.69354653430155,Yes
1011,CUST114,seo,2024-02-30 10:00:00,New Year Blast,13.877838205499549,Yes
1012,,Email,2024/01/23 14:18:17,New Year Blast,46.51343875980583,Yes
1013,CUST107,PPC,2024/01/24 16:27:49,,3.7941935748012816,No
1014,CUST113,Display,2024-02-02 18:09:04,New Year Blast,22.751489771880802,No
1015,CUST103,Social,2024-01-31 04:53:01,Product Launch,19.10560475846376,Yes
1016,CUST111,SEO,2024-02-01 20:27:24,Spring Sale,22.6099932782455,No
1017,CUST116,Email,2024-02-08 19:53:05,New Year Blast,37.69623397496045,No
1018,CUST116,Email,01/29/2024 09:43:25,Product Launch,37.42422017424039,Yes
1019,CUST114,social,2024/02/05 20:19:58,New Year Blast,five,No
1020,CUST114,ppc,2024-02-01 23:34:22,Spring Sale,21.020458736576657,No
1021,CUST112,Email,2024-02-03 14:48:00,New Year Blast,11.55028406050632,No
1022,CUST108,PPC,2024-02-13 22:17:49,Winter Promo,31.03854785596785,No
1023,CUST115,PPC,2024/02/10 10:07:30,Product Launch,ten,Yes
1024,CUST107,SEO,2024/03/01 11:20:44,Product Launch,42.26109348598374,No
1025,CUST114,Display,2024-02-30 10:00:00,Winter Promo,13.757012857754484,No
1026,CUST103,SEO,02/21/2024 07:24:53,Spring Sale 2024,4.876964764396368,Yes
1027,CUST114,Email,02/16/2024 03:25:26,Product Launch,7.166260226734583,
1028,CUST106,PPC,2024/02/18 11:41:43,Product Launch,14.518264266909144,Yes
1029,CUST118,Email,2024-03-03 03:46:02,Product Launch,33.00925147852897,No
1030,CUST101,SEO,02/18/2024 15:22:36,Spring Sale,24.38253741319694,No
1031,CUSY112,PPC,2024/03/09 03:27:59,Product Launch,ten,Yes
1032,,PPC,2024/03/20 13:21:07,Winter Promo,37.82704792528282,
1033,CUSY103,Email,2024/02/18 05:48:46,Product Launch,23.725590757144843,No
1034,CUST119,Display,2024-03-07 21:41:16,Product Launch,15.421794520512387,No
1035,CUST112,SEO,2024-02-27 11:12:06,Winter Promo 2024,1.4175602740948086,Yes
1036,CUST100,Email,03/10/2024 14:01:39,Spring Sale,49.4123520183768,maybe
1037,CUST112,Display,03/25/2024 17:53:35,New Year Blast,42.29356969363535,Yes
1038,CUST118,Email,2024/03/15 00:35:06,Spring Sale,33.0582261647371,Yes
1039,,Email,2024/03/26 11:55:37,Winter Promo,23.716647326763166,Yes
1040,CUST117,SEO,2024/03/23 11:23:13,New Year Blast,39.07271252145266,No
1041,CUST100,PPC,03/28/2024 03:11:05,New Year Blast,2.3340688548465325,Yes
1042,CUST107,PPC,2024-03-22 02:06:14,Spring Sale,34.931172968838034,No
1043,CUST111,PPC,03/23/2024 12:01:06,Spring Sale,36.596717386022064,Yes
1044,CUST102,Email,03/19/2024 13:17:25,New Year Blast,18.100624805350336,No
1045,CUSY111,Email,2024-03-28 07:23:41,Spring Sale,42.6336070852236,Yes
1046,CUST104,PPC,04/14/2024 10:18:29,Spring Sale,39.1116187691256,No
1047,CUST101,SEO,04/24/2024 20:30:48,Product Launch,15.954629642678075,Yes
1048,CUST115,Social,2024/03/26 22:17:46,Winter Promo,46.805823932340445,Yes
1049,CUST106,PPC,04/11/2024 14:56:20,Spring Sale,31.840824815261293,No
1050,CUST102,PPC,2024/04/13 07:43:42,Spring Sale,5.649197995738923,Yes
1051,CUST111,PPC,04/04/2024 05:14:22,,28.797275021411334,No
1052,CUST101,Display,2024-04-23 01:02:26,Winter Promo,46.55735845875746,No
1053,CUST106,Email,2024-04-09 14:27:50,Winter Promo,23.012026801227037,No
1054,CUST119,Social,2024-04-27 13:54:52,Spring Sale,44.954092693639666,Yes
1055,CUST106,Social,04/02/2024 23:01:17,Product Launch,32.62967728647155,
1056,CUST107,PPC,2024-04-15 18:12:01,New Year Blast,39.662688231869254,Yes
1057,CUST117,SEO,2024/03/30 07:39:12,Winter Promo,38.66569177977674,Yes
1058,CUST108,PPC,2024/04/27 19:38:52,Winter Promo,18.458435137434613,Yes
1059,CUST102,Social,2024-02-30 10:00:00,Product Launch,27.434300336051095,Yes
1060,CUST119,Email,2024/05/04 20:00:20,Winter Promo,7.923904858301447,No
1061,CUST111,PPC,2024/04/09 22:58:02,Product Launch,7.911380333375186,Yes
1062,CUST107,Email,2024-04-27 05:35:10,New Year Blast,12.26748509999626,No
1063,CUSY103,PPC,05/22/2024 04:45:07,Spring Sale,24.285375853223826,No
1064,CUST106,Email,2024/05/03 07:08:04,,19.590395913890262,No
1065,CUST101,PPC,2024-04-26 09:15:02,Product Launch,21.710632464492267,
1066,CUST110,SEO,05/17/2024 06:46:31,New Year Blast,27.64924553057144,Yes
1067,CUST116,SEO,04/28/2024 18:21:08,Product Launch,7.6774830446440925,NOO
1068,CUST107,Social,2024-04-26 05:40:21,Spring Sale,49.65593045328432,Yes
1069,CUSY108,SEO,2024-04-23 12:52:01,Spring Sale,8.018610922825355,maybe
1070,CUST106,Email,2024-06-01 13:25:56,Spring Sale 2024,47.29633479530034,Yes
1071,CUST118,SEO,2024/05/23 03:47:33,Spring Sale,16.83165522891521,No
1072,CUST104,PPC,2024/05/29 15:45:07,New Year Blast 2024,12.610549346344559,No
1073,CUST105,PPC,2024/05/01 06:34:28,New Year Blast,11.526338583117399,Yes
1074,CUST106,Email,2024/05/25 22:52:21,Product Launch,30.968302670425146,Yes
1075,CUST107,SEO,2024/05/30 07:50:34,Spring Sale,25.98808077482634,No
1076,CUST105,PPC,2024/05/06 02:40:26,Winter Promo,36.286904576514495,Yes
1077,CUST102,SEO,05/31/2024 11:54:43,Product Launch,34.13914838802643,Yes
1078,CUST103,Search,2024/06/30 03:07:17,Winter Promo,46.68537617862522,No
1079,CUST101,PayPerClick,2024-06-07 21:51:27,Spring Sale,40.90383822506725,NOO
1080,CUST109,PPC,2024-05-30 07:44:42,Product Launch,6.593457886891879,Yes
1081,CUST115,Social,2024-06-26 05:46:26,New Year Blast,9.6732877373565,Yes
1082,CUST108,Social,2024-06-12 20:41:12,New Year Blast,10.961216265619141,No
1083,CUST101,Social,06/22/2024 03:47:16,Winter Promo 2024,33.974736303477236,No
1084,CUSY112,PPC,2024/06/18 15:29:41,New Year Blast,10.359056140153976,No
