AdID,CampaignName,Platform,Date,Impressions,Clicks,Cost,Conversions,CTR
AD1001,SpringPromo,Google,2024-01-07,1080,89,423.93362415817796,9.0,0.0824074074074074
AD1002,WinterSale,Meta,2024-01-29,537,7,138.67526061603127,18.0,0.0130353817504655
AD1003,SpringPromo,LinkedIn,2024-01-06,3770,361,312.8919101294995,13.0,0.0957559681697612
AD1004,WinterSale,LinkedIn,2024-01-02,2917,86,93.06949261788891,15.0,0.0294823448748714
AD1005,ProductLaunch,Google,2024-01-09,2205,157,326.49144203968063,1.0,0.0712018140589569
AD1006,WinterSale,Google,2024-01-19,743,1,54.268947833194616,20.0,0.0013458950201884
AD1007,WinterSale,Meta,2024-01-31,2240,212,260.2366818284637,6.0,
AD1008,SpringPromo,LinkedIn,01/19/2024,3794,309,95.6053562143911,7.0,
AD1009,WinterSale,Meta,2024-01-03,0,9,228.23866426452304,2.0,
AD1010,SpringPromo,Google,01/13/2024,2684,29,380.14197548161104,18.0,0.0108047690014903
AD1011,SpringPromo,Meta,2024-01-26,1320,68,150.60912686436384,6.0,0.0515151515151515
AD1012,ProductLaunch,Google,2024-01-01,4889,392,209.11607603139072,11.0,0.0801799959091838
AD1013,ProductLaunch,Meta,2024-01-12,2200,181,434.09329532879195,10.0,
AD1014,ProductLaunch,LinkedIn,2024-01-13,2638,243,210.03992679717084,3.0,0.0921152388172858
AD1015,ProductLaunch,Google,2024-01-21,1599,17,373.36794474755976,6.0,0.0106316447779862
AD1016,WinterSale,Meta,2024-13-01,2787,214,60.065923487973436,1.0,0.0767850735557947
AD1017,WinterSale,Meta,2024-01-25,3980,204,318.32865297178176,5.0,0.0512562814070351
AD1018,WinterSale,Google,2024-01-04,3137,193,404.75666110656266,0.0,0.0615237488045903
AD1019,WinterSale,LinkedIn,2024-01-09,2703,149,406.03331996972315,10.0,0.0551239363669996
AD1020,WinterSale,Meta,2024-01-04,1852,33,USD111.99,12.0,0.0178185745140388
AD1021,SpringPromo,Meta,2024-01-10,1773,153,96.55706120013042,6.0,0.0862944162436548
AD1022,SpringPromo,Google,2024-01-04,954,80,83.16423447329527,6.0,0.0838574423480083
AD1023,ProductLaunch,Facebook,01/23/2024,2048,198,122.50172857080999,20.0,0.0966796875
AD1024,SpringPromo,Meta,2024-13-01,4084,378,469.97388598101435,14.0,0.0925563173359451
AD1025,SpringPromo,Google,2024-01-05,3592,125,192.98181231774927,12.0,0.0347995545657015
AD1026,SpringPromo,Meta,2024-01-04,2407,167,153.02933779672685,4.0,0.0693809721645201
AD1027,ProductLaunch,Meta,01/16/2024,2776,16,174.51907492648473,9.0,0.0057636887608069
AD1028,SpringPromo,Meta,01/25/2024,3552,301,316.85564101941804,8.0,0.0847409909909909
AD1029,SpringPromo,Meta,01/19/2024,2255,224,390.0467805391171,17.0,0.0993348115299334
AD1030,WinterSale,Google,01/03/2024,1413,118,73.16886281505026,18.0,0.0835102618542109
AD1031,WinterSale,LinkedIn,2024-01-13,2372,231,105.28453430720279,5.0,0.0973861720067453
AD1032,WinterSale,Meta,01/10/2024,2229,103,410.00809961960005,15.0,0.0462090623598026
AD1033,WinterSale,LinkedIn,01/23/2024,4973,149,78.00793320980635,9.0,0.0299617936859038
