SessionID,UserID,Timestamp,PageURL,Referrer,DeviceType,TimeOnPage,Bounce
SESS1,USER156,2024-01-13 11:30:06,home,Direct,Desktop,60.980094392474925,Y
SESS2,USER79,01/11/2024 12:39:29,signup,Direct,Tablet,zero,No
SESS3,USER51,01/30/2024 07:05:02,home,Social,Desktop,161.73172703204807,No
SESS4,USER113,01/06/2024 03:20:11,blog,Direct,Desktop,246.33590621173215,Yes
SESS5,USER143,01/25/2024 11:29:49,pricing,Email,Tablet,281.7334252089031,Yes
SESS6,USER26,2024-01-06 03:03:18,signup,Google,Desktop,33.1462773285113,N
SESS7,USER88,2024-01-03 20:22:16,http:/page,Direct,Mobile,280.22193159590404,No
SESS8,USER196,2024-13-01 10:00:00,blog,Direct,Tablet,42.2591764929233,Y
SESS9,USER141,2024-01-18 10:30:26,home,Direct,Desktop,149.87517459954466,N
SESS10,,01/03/2024 09:19:58,pricing,Google,Desktop,252.80911858174704,No
SESS11,USER178,01/25/2024 17:14:43,pricing,Referral,Tablet,255.90192698328786,Y
SESS12,USER139,2024-01-09 07:22:02,home,Social,Desktop,164.14387278887676,Y
SESS13,USER181,2024-01-19 20:07:36,home,Google,Tablet,7.011203787980609,N
SESS14,USER134,01/12/2024 13:47:17,http:/page,Email,Desktop,119.40865654853607,No
SESS15,USER5,2024-01-18 01:31:18,pricing,Social,Tablet,15.788886449041652,N
SESS16,,01/05/2024 21:47:12,home,Referral,Desktop,-3.820217591889569,N
SESS17,USER57,2024-01-18 17:23:44,signup,Google,Mobile,204.94115705605006,Yes
SESS18,USER43,2024-01-23 19:11:40,blog,Referral,Mobile,32.61748025978571,Y
SESS19,USER134,2024-01-22 06:56:18,signup,Direct,Tablet,61.0554694676118,Y
SESS20,USER80,2024-01-23 12:53:21,http:/page,Email,Desktop,9.609106465323226,N
SESS21,USER115,01/02/2024 11:48:35,signup,Email,Desktop,20.957156704800745,No
SESS22,USER187,01/28/2024 07:54:14,signup,Direct,Tablet,66.17633789175028,No
SESS23,USER154,2024-01-15 17:07:28,signup,Social,Desktop,189.31778962313626,Yes
SESS24,USER135,2024-01-25 09:50:23,pricing,Social,Desktop,94.063615304291,N
SESS25,USER3,2024-01-15 01:10:17,blog,Direct,Mobile,192.27683133923603,Yes
SESS26,USER120,2024-01-28 19:59:27,http:/page,Referral,Mobile,167.1474525080221,Yes
SESS27,USER25,2024-01-17 15:56:30,blog,Direct,Tablet,212.5243414467241,
SESS28,USER199,01/19/2024 00:39:31,blog,Email,Desktop,108.73971643845192,Y
SESS29,USER58,01/05/2024 03:48:02,http:/page,Social,Mobile,189.8864038903446,N
SESS30,USER2,01/15/2024 22:24:09,pricing,Social,Desktop,165.6949031142359,Yes
SESS31,USER64,2024-01-05 02:44:26,blog,Email,Tablet,175.29953072656892,N
SESS32,USER90,01/12/2024 07:29:22,pricing,Google,Desktop,217.57879958246733,Y
SESS33,USER166,2024-01-12 13:42:56,home,,Mobile,24.77948044594722,N
SESS34,USER76,2024-01-29 11:44:55,signup,Referral,Mobile,51.16346841065252,No
SESS35,USER199,2024-01-17 08:51:04,home,Google,Mobile,282.52815901695976,N
SESS36,USER28,2024-01-26 12:34:52,blog,,Mobile,292.0240224377023,Y
SESS37,USER68,2024-01-10 07:36:13,home,Social,Tablet,169.08972604128732,N
SESS38,,01/26/2024 21:56:15,home,Referral,Tablet,137.5305379919539,N
SESS39,USER44,01/10/2024 14:43:50,blog,Social,Tablet,zero,Yes
SESS40,USER191,2024-01-23 16:54:41,blog,Referral,Mobile,32.331074228059535,Yes
SESS41,USER165,01/27/2024 00:01:54,blog,Email,Desktop,67.2055656820043,N
SESS42,USER180,01/18/2024 11:27:14,signup,Google,Mobile,48.08820409661066,N
SESS43,USER137,2024-01-11 02:32:22,signup,Social,Desktop,213.7076319296214,
SESS44,USER127,2024-01-08 12:25:07,pricing,Google,Mobile,283.0757250566071,N
SESS45,USER114,01/17/2024 21:34:07,pricing,Email,Tablet,5.3762401128477855,Yes
SESS46,USER50,2024-01-06 03:39:25,home,Email,Desktop,265.3808514211852,No
SESS47,USER94,01/02/2024 13:53:01,home,Referral,Tablet,-1.6169971621721189,Yes
SESS48,USER93,2024-01-09 06:29:53,blog,Google,Mobile,60.328663834401056,Yes
SESS49,USER172,2024-01-22 12:01:56,home,Direct,Mobile,142.7929573760062,No
SESS50,USER170,01/07/2024 03:28:26,pricing,Google,Mobile,128.59408419928621,No
SESS51,USER77,2024-01-24 03:51:31,home,Email,Mobile,77.96277276149816,
SESS52,USER79,2024-01-28 23:53:08,home,Referral,Desktop,230.87566931233502,Yes
SESS53,USER73,2024-01-22 20:12:30,signup,Direct,Desktop,-6.34514473278451,N
SESS54,USER98,01/28/2024 21:58:37,pricing,Direct,Desktop,74.99039333719759,Yes
SESS55,USER113,2024-01-23 19:16:51,signup,,Desktop,136.54660124479375,N
SESS56,USER149,2024-01-13 05:59:03,home,Email,Tablet,10.826296161575417,
SESS57,USER105,2024-01-05 14:50:48,home,Google,Tablet,122.24629279958776,N
SESS58,USER92,2024-01-24 21:06:24,home,,Mobile,199.88818116314238,
SESS59,USER11,01/30/2024 02:46:52,pricing,Google,Mobile,35.96357694377435,Y
SESS60,USER4,2024-01-01 03:49:07,pricing,Email,Tablet,247.81252335658348,Yes
SESS61,USER155,2024-01-13 22:14:29,blog,Referral,Mobile,242.83054128713738,Yes
SESS62,USER179,2024-01-20 08:51:20,pricing,Email,Mobile,180.53664101271994,Yes
SESS63,USER95,01/16/2024 02:04:47,blog,Google,Desktop,61.242481474717266,N
SESS64,USER46,01/13/2024 23:17:22,signup,Referral,Desktop,119.60315435104658,Yes
SESS65,USER158,2024-01-02 22:00:41,signup,Email,Desktop,156.57418821798075,Y
SESS66,USER16,2024-01-02 00:12:53,pricing,Referral,Tablet,150.01519783286997,N
SESS67,USER15,01/13/2024 05:44:59,home,Direct,Desktop,51.250222261445636,No
SESS68,USER10,01/12/2024 10:12:19,home,Google,Tablet,213.76777112578208,N
SESS69,USER22,2024-01-21 06:43:20,signup,Email,Tablet,142.36036910614496,No
SESS70,USER81,01/01/2024 04:32:12,http:/page,Social,Tablet,130.04198882955828,Yes
SESS71,USER53,01/11/2024 23:26:10,blog,Email,Tablet,29.591637009660737,N
SESS72,USER25,01/18/2024 12:06:02,pricing,Email,Desktop,187.2236815383292,Yes
SESS73,USER48,2024-01-08 14:19:53,http:/page,Social,Mobile,181.42904837787088,N
SESS74,,01/17/2024 16:11:57,blog,Email,Desktop,266.2046208864982,Y
SESS75,USER136,2024-01-10 12:37:21,blog,Google,Mobile,40.23082493580068,Y
SESS76,USER9,2024-13-01 10:00:00,signup,Direct,Tablet,49.92666800850265,No
SESS77,USER32,01/28/2024 08:09:13,home,Social,Desktop,33.036552312355255,Yes
SESS78,USER190,01/03/2024 10:50:36,signup,Google,Tablet,153.20748750444446,No
SESS79,USER141,01/27/2024 05:35:24,pricing,Referral,Tablet,38.029219204713975,Yes
SESS80,USER164,2024-01-27 13:05:01,home,Google,Tablet,75.4844389470374,Yes
SESS81,USER2,01/18/2024 12:42:30,pricing,Social,Tablet,83.90740054572655,No
SESS82,USER165,01/03/2024 05:42:12,pricing,,Tablet,120.17779272922974,N
SESS83,USER105,2024-01-24 05:05:22,home,Referral,Mobile,255.4484951291904,No
SESS84,USER14,2024-01-30 04:02:38,home,Google,Tablet,170.20145220009454,No
SESS85,,01/17/2024 22:30:38,blog,Google,Desktop,142.32202408008072,
SESS86,USER56,01/04/2024 23:24:23,signup,Direct,Mobile,16.241024519269843,No
SESS87,,2024-01-14 03:22:01,pricing,Referral,Tablet,298.7396479867802,
SESS88,USER143,01/23/2024 08:09:14,blog,Email,Tablet,232.42846774344142,N
SESS89,USER46,2024-01-27 20:50:00,blog,,Mobile,52.10289578446111,No
SESS90,USER102,2024-01-01 06:48:38,home,Social,Tablet,92.02106720248611,N
SESS91,USER28,2024-01-03 09:43:59,blog,,Mobile,236.77423531458084,Yes
SESS92,USER178,01/18/2024 00:45:29,http:/page,Referral,Tablet,136.15350375258416,N
SESS93,USER182,2024-01-28 16:49:41,blog,Google,Desktop,23.70809929814849,Y
SESS94,USER33,01/16/2024 17:06:25,http:/page,Google,Desktop,212.06192535365292,N
SESS95,USER127,2024-01-06 11:48:10,blog,Direct,Tablet,299.4038032264659,Y
SESS96,USER155,01/14/2024 18:30:36,http:/page,Google,Tablet,263.29476780694,N
SESS97,,2024-01-07 16:23:59,pricing,,Tablet,96.21633109815352,Y
SESS98,USER155,01/21/2024 21:09:55,blog,Direct,Desktop,268.3058144470153,N
SESS99,USER11,2024-01-16 14:33:10,blog,Direct,Mobile,179.66899779030587,N
SESS100,USER89,01/22/2024 08:39:32,home,Google,Tablet,240.5783421747681,
SESS101,USER72,2024-01-29 01:20:53,home,Social,Tablet,234.6638086514696,No
SESS102,USER168,2024-01-27 20:03:24,home,,Mobile,190.8338208076299,Yes
SESS103,USER162,01/07/2024 10:19:15,signup,Google,Tablet,157.2179768110989,Y
SESS104,USER134,2024-01-07 16:25:27,blog,Direct,Mobile,232.79043534901822,Yes
SESS105,USER132,2024-01-17 04:51:28,http:/page,Google,Tablet,45.99648631683388,No
SESS106,USER33,01/01/2024 23:27:17,blog,Social,Tablet,276.1443639790709,N
SESS107,USER109,2024-01-03 15:08:52,blog,Google,Desktop,-9.128616463804835,N
SESS108,USER29,2024-01-14 11:25:12,home,Google,Mobile,218.6768595900054,N
SESS109,USER130,2024-01-22 07:50:13,blog,Direct,Tablet,213.2548480131419,No
SESS110,USER35,2024-13-01 10:00:00,pricing,,Mobile,225.92268216271015,
SESS111,USER106,01/02/2024 20:11:05,home,Email,Mobile,264.5248413671338,N
SESS112,USER175,2024-01-24 16:51:41,home,Social,Desktop,224.18940048330245,N
SESS113,USER111,01/11/2024 00:03:26,home,Referral,Mobile,16.966262677821465,Y
SESS114,USER5,01/15/2024 00:50:50,pricing,Social,Mobile,7.6849050314545195,Y
SESS115,USER3,2024-01-02 22:48:16,signup,Direct,Mobile,60.29233094261596,No
SESS116,USER101,2024-01-24 11:49:42,pricing,Google,Tablet,170.60803550531836,N
SESS117,USER8,01/10/2024 11:27:08,home,Email,Desktop,25.98451890212194,No
SESS118,USER199,01/16/2024 19:12:33,pricing,Direct,Desktop,221.1931396569599,No
SESS119,USER27,2024-01-21 10:38:09,signup,Google,Mobile,5.880422613377615,No
SESS120,USER149,01/28/2024 14:31:53,signup,Social,Tablet,39.7303483733606,Yes
SESS121,USER164,01/09/2024 20:33:18,signup,Direct,Desktop,9.755075815832825,N
SESS122,USER165,2024-01-07 17:27:43,http:/page,Direct,Mobile,61.7501745611096,Yes
SESS123,USER37,01/14/2024 06:56:17,home,Direct,Desktop,92.55846792697072,N
SESS124,USER187,2024-01-24 01:57:22,home,,Tablet,153.46455771278485,Y
SESS125,USER49,01/25/2024 22:01:31,signup,Referral,Tablet,44.27857558443171,N
SESS126,USER62,2024-01-15 08:23:56,pricing,Social,Mobile,282.5079420633104,Y
SESS127,USER102,2024-01-24 09:07:14,http:/page,Email,Mobile,278.1522688450294,Y
SESS128,USER44,2024-01-07 22:01:37,blog,Direct,Mobile,54.53557810288237,Yes
SESS129,USER160,2024-01-07 04:16:08,pricing,Google,Tablet,211.60479682793624,No
SESS130,USER174,2024-01-06 02:02:52,pricing,Email,Mobile,292.8727606913717,Yes
SESS131,USER159,01/11/2024 17:58:30,pricing,Direct,Mobile,222.28134875080698,Y
SESS132,USER185,01/09/2024 04:03:23,signup,Direct,Tablet,182.8798306925756,Yes
SESS133,USER194,01/03/2024 07:37:02,home,Direct,Tablet,zero,Y
SESS134,USER186,01/13/2024 09:03:25,pricing,Referral,Tablet,146.87509055143727,Yes
SESS135,,01/15/2024 10:07:54,http:/page,Social,Desktop,213.90161838836914,N
SESS136,USER173,2024-13-01 10:00:00,home,Email,Mobile,284.54824256983187,Yes
SESS137,USER99,2024-01-05 18:15:21,blog,Email,Desktop,23.23651552956715,Yes
SESS138,,2024-01-22 23:43:25,http:/page,Direct,Tablet,82.83852757806395,No
SESS139,USER26,01/01/2024 02:04:51,signup,Google,Tablet,6.506802716249915,No
SESS140,USER129,2024-13-01 10:00:00,blog,Direct,Tablet,129.70614515780855,Y
SESS141,USER175,01/16/2024 16:35:16,blog,Google,Tablet,51.60823032268601,Y
SESS142,USER83,2024-01-16 15:49:46,http:/page,Social,Desktop,60.23954333548933,N
SESS143,USER128,2024-01-22 12:52:41,home,Referral,Mobile,249.63893049182377,Y
SESS144,USER95,2024-01-08 04:16:06,blog,Social,Tablet,207.29693769434581,Yes
SESS145,USER176,2024-01-30 14:28:03,home,Google,Desktop,zero,
SESS146,USER21,01/18/2024 14:30:27,signup,Email,Tablet,216.35881602869154,Y
SESS147,USER59,2024-01-24 08:57:16,http:/page,,Tablet,124.99622608215333,N
SESS148,USER9,2024-01-14 05:01:35,blog,Direct,Tablet,248.634935404639,No
SESS149,USER186,2024-01-20 22:07:39,home,Social,Tablet,21.449524881691815,Yes
SESS150,USER78,2024-01-27 03:04:15,pricing,Email,Desktop,172.7488283901731,No
SESS151,USER34,01/26/2024 18:13:02,http:/page,Email,Mobile,193.79190800526877,Yes
SESS152,USER30,2024-01-19 22:01:31,blog,Direct,Desktop,108.92667480293588,N
SESS153,USER57,2024-01-20 08:07:05,home,Direct,Mobile,201.08418830959818,Y
SESS154,USER151,2024-01-11 06:02:33,home,Social,Tablet,289.0029323067099,Y
SESS155,USER99,01/02/2024 02:27:43,pricing,Social,Desktop,zero,Yes
SESS156,USER124,01/16/2024 16:41:21,http:/page,Email,Desktop,zero,No
SESS157,USER32,2024-01-07 16:36:38,blog,Email,Mobile,109.43635258602414,N
SESS158,USER5,01/04/2024 11:29:48,pricing,Direct,Tablet,zero,N
SESS159,USER66,2024-01-16 18:16:23,signup,Google,Tablet,-6.306576364557043,N
SESS160,,2024-01-28 08:10:56,pricing,Social,Mobile,ten,N
SESS161,USER183,2024-01-06 08:58:15,signup,Google,Mobile,141.47169137636925,No
SESS162,,2024-01-21 11:19:09,http:/page,Direct,Tablet,ten,Yes
SESS163,USER119,2024-01-18 14:49:56,pricing,Google,Tablet,78.587604471938,No
SESS164,USER22,2024-01-15 04:44:21,pricing,Referral,Tablet,-6.300586755973505,No
SESS165,USER39,2024-01-15 12:58:57,pricing,Social,Mobile,183.22960841743762,Yes
SESS166,USER8,2024-01-04 12:51:41,pricing,Email,Desktop,3.3638751773843225,N
SESS167,USER61,2024-01-14 17:36:21,signup,Direct,Mobile,155.2736337308774,N
SESS168,USER89,2024-01-28 04:12:47,http:/page,,Desktop,71.37610267156137,Y
SESS169,USER68,01/16/2024 10:32:07,signup,Google,Tablet,107.80192246380129,Y
SESS170,USER34,2024-01-24 06:38:18,pricing,Direct,Mobile,146.13090909957162,Yes
SESS171,USER61,2024-01-15 04:11:35,home,Direct,Mobile,105.89502334191886,No
SESS172,USER81,2024-01-13 08:05:04,pricing,Social,Mobile,98.90238061136161,Y
SESS173,USER72,01/17/2024 01:03:12,pricing,Email,Mobile,91.6090922031787,Y
SESS174,USER60,01/02/2024 10:49:59,home,Direct,Mobile,43.20947543811906,
SESS175,USER151,2024-01-03 05:06:47,pricing,Social,Desktop,95.5476430132862,No
SESS176,USER59,01/21/2024 06:44:18,home,Google,Tablet,173.0398191284171,No
SESS177,USER90,01/21/2024 00:04:48,signup,,Tablet,267.55870229002664,Y
SESS178,USER126,2024-01-03 17:23:37,signup,Direct,Mobile,227.1864489780826,Y
SESS179,USER146,2024-01-07 03:11:32,signup,Google,Mobile,55.42738533634024,N
SESS180,USER58,01/28/2024 21:32:12,http:/page,Social,Tablet,ten,No
SESS181,USER65,2024-01-17 19:18:32,http:/page,Direct,Mobile,9.915186630287394,Y
SESS182,USER144,01/06/2024 12:33:11,blog,Email,Tablet,87.88958259463895,N
SESS183,USER147,01/13/2024 08:20:57,blog,Email,Tablet,61.29237759451202,N
SESS184,USER65,2024-01-20 22:02:21,pricing,,Tablet,231.861836551768,No
SESS185,USER138,01/02/2024 23:31:53,http:/page,Google,Mobile,7.776308752154858,No
SESS186,USER179,01/16/2024 06:55:12,home,Google,Mobile,222.31441711847737,Y
SESS187,USER73,01/25/2024 12:43:43,signup,Social,Mobile,6.410372625165852,Yes
SESS188,USER38,01/19/2024 13:41:32,blog,,Mobile,176.07186991537318,N
SESS189,USER126,2024-01-07 22:22:21,blog,Email,Mobile,73.57273251737051,Yes
SESS190,USER102,2024-13-01 10:00:00,blog,Google,Mobile,3.8307737637430908,N
SESS191,USER53,2024-01-19 05:15:07,pricing,Email,Tablet,124.15807840099421,N
SESS192,USER151,2024-01-15 09:14:39,http:/page,Referral,Tablet,97.25766870790517,
SESS193,USER39,01/04/2024 03:10:09,signup,Referral,Tablet,3.201322579278095,Yes
SESS194,USER128,01/02/2024 18:09:14,home,Referral,Desktop,111.90727750739073,Y
SESS195,USER24,2024-01-18 13:53:35,signup,Google,Desktop,299.68399225625825,Yes
